342201-13FB,QUÍMICA I,TC
343101-13FB,ÁLGEBRA,TC
322501-13FB,LÓGICA,TC
344101-13FB,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN,TC
322201-13FB,INGLÉS I,TC
322301-13FB,LECTURA. EXPRESIÓN ORAL Y ESCRITA I,TC
343102-13FB,GEOMETRÍA Y TRIGONOMETRÍA,TC
342202-13FB,QUÍMICA II,TC
322302-13FB,LECTURA. EXPRESIÓN ORAL Y ESCRITA II,TC
322202-13FB,INGLÉS II,TC
351300001-13M1,MÓDULO I. REALIZA MANTENIMIENTO A SISTEMAS ELÉCTRICOS Y ELECTRÓNICOS,ESP
351300001-13M1S1,MIDE E INTERPRETA LAS VARIABLES ELÉCTRICAS DE SISTEMAS ELÉCTRICOS,ESP
351300001-13M1S2,COMPRUEBA QUE LOS SISTEMAS ELECTRÓNICOS OPEREN BAJO LAS ESPECIFICACIONES DEL FABRICANTE,ESP
322502-13FB,ÉTICA,TC
341101-13FB,BIOLOGÍA,TC
343103-13FB,GEOMETRÍA ANALÍTICA,TC
322203-13FB,INGLÉS III,TC
351300001-13M2,MÓDULO II. REPARA EQUIPOS DE AUDIO Y RECEPTORES DE TELEVISIÓN,ESP
351300001-13M2S1,REPARA EQUIPOS DE AUDIO,ESP
351300001-13M2S2,REPARA RECEPTORES DE TELEVISIÓN HD,ESP
322204-13FB,INGLÉS IV,TC
343104-13FB,CÁLCULO DIFERENCIAL,TC
341201-13FB,ECOLOGÍA,TC
342101-13FB,FÍSICA I,TC
351300001-13M3,MÓDULO III. MANTIENE SISTEMAS ELECTRÓNICOS QUE CONTIENEN PLC,ESP
351300001-13M3S1,PROGRAMA PLC EMPLEADOS EN SISTEMAS ELECTRÓNICOS,ESP
351300001-13M3S2,MANTIENE SISTEMAS ELECTRÓNICOS DE USO COMERCIAL,ESP
343105-13FPp,CÁLCULO INTEGRAL,TC
322503-13FB,CIENCIA. TECNOLOGÍA. SOCIEDAD Y VALORES,TC
342102-13FB,FÍSICA II,TC
322205-13FPp,INGLÉS V,TC
351300001-13M4,MÓDULO IV. MANTIENE SISTEMAS ELECTRÓNICOS OPERADOS CON MICROCONTROLADORES,ESP
351300001-13M4S1,PROGRAMA MICROCONTROLADORES EN APLICACIONES DE USO COMERCIAL,ESP
